2021 super output area - lower layer,Total: All usual residents,,Very good health,,Good health,,Fair health,,Bad health,,Very bad health,
,number,%,number,%,number,%,number,%,number,%,number,%
E01011580 : Leeds 014D,"1,371",100,710,51.8,447,32.6,155,11.3,50,3.6,9,0.7
E01011556 : Leeds 015A,"1,650",100,859,52.1,530,32.1,186,11.3,61,3.7,14,0.8
E01011557 : Leeds 015B,"1,422",100,751,52.8,449,31.6,154,10.8,48,3.4,20,1.4
E01011565 : Leeds 015C,"1,481",100,817,55.2,442,29.8,167,11.3,43,2.9,12,0.8
E01011566 : Leeds 015D,"1,338",100,695,51.9,447,33.4,144,10.8,43,3.2,9,0.7
E01011568 : Leeds 015E,"1,914",100,889,46.4,662,34.6,272,14.2,68,3.6,23,1.2
E01011380 : Leeds 016A,"1,550",100,799,51.5,507,32.7,191,12.3,47,3,6,0.4
E01011381 : Leeds 016B,"1,474",100,756,51.3,514,34.9,160,10.9,37,2.5,7,0.5
E01011385 : Leeds 016C,"1,338",100,679,50.7,433,32.4,161,12,55,4.1,10,0.7
E01011386 : Leeds 016D,"1,815",100,"1,069",58.9,536,29.5,169,9.3,29,1.6,12,0.7
E01011379 : Leeds 017A,"1,610",100,717,44.5,556,34.5,219,13.6,88,5.5,30,1.9
E01011384 : Leeds 017B,"1,516",100,760,50.1,478,31.5,194,12.8,69,4.6,15,1
E01032501 : Leeds 017E,"1,148",100,576,50.2,400,34.8,138,12,23,2,11,1
E01032502 : Leeds 017F,"1,873",100,867,46.3,664,35.5,225,12,90,4.8,27,1.4
E01011555 : Leeds 018A,"1,380",100,745,54,441,32,149,10.8,37,2.7,8,0.6
E01011558 : Leeds 018B,"1,778",100,909,51.1,525,29.5,236,13.3,81,4.6,27,1.5
E01011559 : Leeds 018C,"1,475",100,658,44.6,472,32,211,14.3,104,7.1,30,2
E01011560 : Leeds 018D,"1,938",100,897,46.3,559,28.8,306,15.8,123,6.3,53,2.7
E01011383 : Leeds 019A,"1,674",100,848,50.7,519,31,208,12.4,77,4.6,22,1.3
E01011388 : Leeds 019B,"1,581",100,738,46.7,534,33.8,230,14.5,64,4,15,0.9
E01011684 : Leeds 019C,"1,557",100,818,52.5,495,31.8,186,11.9,52,3.3,6,0.4
E01011695 : Leeds 019D,"1,711",100,742,43.4,542,31.7,270,15.8,136,7.9,21,1.2
E01011650 : Leeds 020A,"1,523",100,906,59.5,441,29,135,8.9,32,2.1,9,0.6
E01011651 : Leeds 020B,"1,490",100,799,53.6,451,30.3,163,10.9,58,3.9,19,1.3
E01011653 : Leeds 020C,"1,376",100,741,53.9,460,33.4,136,9.9,29,2.1,10,0.7
E01011655 : Leeds 020D,"1,481",100,856,57.8,408,27.5,148,10,55,3.7,14,0.9
E01011455 : Leeds 021A,"1,370",100,774,56.5,449,32.8,118,8.6,23,1.7,6,0.4
E01011456 : Leeds 021B,"2,048",100,"1,161",56.7,643,31.4,188,9.2,42,2.1,14,0.7
E01011459 : Leeds 021C,"1,678",100,845,50.4,594,35.4,186,11.1,43,2.6,10,0.6
E01011461 : Leeds 021D,"1,564",100,880,56.3,487,31.1,148,9.5,36,2.3,13,0.8
