lsoa11,ahah,ahah_rnk,ahah_pct,h,gp,dent,phar,hosp
E01009878,24.7566715,29670,72,-0.291127639,1.8885,3.0417,1.897,4.61735
E01009879,30.15537688,35209,85,-0.563427145,1.5936,2.4797,1.8454,1.9825
E01009880,24.07097386,28636,69,-0.134596393,2.3698,3.005,2.621,3.0257
E01009881,48.19550851,41147,99,-2.135787164,0.485,0.6288,0.618,0.6965
E01009882,29.90710163,35027,84,-0.420626468,1.678,3.2715,1.9,1.9
E01009883,29.36501408,34600,83,0.231129781,3.36605,3.4625,4.5806,3.4625
E01009884,23.26951043,27437,66,-0.040155017,2.2215,2.2215,5.1006,2.2215
E01009885,28.0337878,33349,80,-0.04291619,3.0145,3.3113,3.0145,3.106552632
E01009886,25.92420824,31176,75,0.023461044,2.848,2.952,3.773,2.952
E01009887,24.91631483,29902,72,-0.218420447,2.4754,2.4955,2.4754,3.0612
E01009888,23.8651885,28346,68,-0.252022798,2.1656,2.4452,2.1656,3.1078
E01009889,38.27034789,39279,95,-1.157826311,1.3275,1.0522,1.17885,1.2375
E01009890,24.1582552,28773,69,0.257966413,3.9561,4.033,3.4536,4.2045
E01009891,24.06971823,28632,69,-0.42217033,1.7692,2.8695,1.922,2.80775
E01009892,34.60674888,37841,91,-1.330405586,1.1149,1.2245,1.2653,0.792
E01009893,28.23830475,33562,81,-0.603070728,2.0815,1.98325,1.939,2.15775
E01009894,23.74214564,28140,68,-0.075614546,2.99525,2.99525,2.935,2.99525
E01009895,21.78450167,24824,60,-1.052042954,1.5033,1.0675,1.1518,2.2174
E01009896,21.47897641,24256,59,-0.819949558,2.3383,0.77125,1.695,2.5391
E01009897,21.73575353,24733,60,-0.139890872,3.503,2.5272,2.7249,3.1799
E01009898,17.15093322,14721,36,-0.647819062,2.114,1.70415,1.6113,1.89725
E01009899,19.93223098,21062,51,0.511811275,4.508,4.49,4.3424,7.09915
E01009900,20.06486467,21325,52,0.385262161,3.8805,3.8625,3.7149,6.4529
E01009901,18.55380199,18022,44,-0.129219208,1.89875,3.551,1.89875,4.9969
E01009902,19.41173637,19949,48,-0.884871053,0.515,3.0925,0.515,5.2274
E01009903,19.77497516,20729,50,-0.121520748,3.1609,1.8434,1.8884,4.9615
E01009904,23.23473125,27364,66,-0.57625371,2.2803,1.1053,1.1603,3.5195
E01009905,21.20719207,23735,57,-0.667464467,1.47945,1.4268,1.1217,3.970857895
E01009906,19.76666534,20714,50,-0.747501776,2.081757895,1.378089474,1.6125,2.483957895
E01009907,17.56148194,15714,38,-0.560664221,2.308610526,1.5619,1.779923684,2.80905
E01009908,20.65120948,22611,55,-0.86775851,3.2744,0.9271,1.1148,1.9778
E01009909,17.75415712,16197,39,-0.20259499,3.1563,2.0891,2.1613,2.5248
E01009910,16.15443509,12365,30,-0.005120418,3.6966,2.4641,2.4296,3.302
E01009911,17.7294257,16127,39,-0.671509837,0.74125,4.58,0.9225,2.31125
E01009912,18.72520722,18408,45,-0.194387195,2.3192,2.8703,2.53215,2.84935
E01009913,16.11441071,12287,30,-0.43999695,1.305,5.115,1.4025,1.80025
E01009914,21.29008183,23897,58,0.236963659,2.85,3.912,2.85,6.2469
E01009915,19.79830815,20773,50,-0.040963779,2.7897,2.6387,2.8725,2.9866
E01009916,19.81150351,20802,50,-0.649906852,1.11975,1.4835,1.11975,4.0466
E01009917,21.52536585,24355,59,0.041328177,2.1625,3.2245,2.1625,5.73785
E01009918,18.29357165,17438,42,0.171601583,3.32,3.0862,3.2231,3.8666
