LSOA21CD,ah4dent,ah4gp,ah4hosp,ah4phar,ah4leis,ah4h
S01011106,4.3147,5.0478,6.1334,4.3493,3.4569,0.8216
S01011107,4.4113,4.4113,8.2824,4.4113,5.6059,0.9581
S01011108,2.8889,2.8889,7.5669,2.8889,4.9461,0.6449
S01011109,3.1268,3.7793,5.2692,3.1268,3.1193,0.5803
S01011110,2.3443,2.3443,7.6016,2.3443,5.699,0.4999
S01011111,2.9019,3.7112,5.0908,3.1241,3.4142,0.5752
S01011112,3.3458,4.1354,5.6144,3.5587,4.2775,0.7312
S01011113,3.4005,4.4332,4.7892,3.5217,3.9255,0.7036
S01011114,3.8809,4.782,4.7023,4.0021,4.3831,0.792
S01011115,3.5135,4.4293,4.335,3.6348,4.3121,0.7224
S01011116,3.0056,3.9483,3.8539,3.0376,3.8829,0.5803
S01011117,0.7175,2.233,2.5545,0.8929,1.5233,-0.7224
S01011118,1.8343,1.8835,1.8702,1.7207,2.386,-0.2057
S01011119,2.8117,1.8675,1.7362,2.5046,2.8097,0.0493
S01011120,3.4166,3.2664,3.4716,3.1781,3.9926,0.565
S01011121,1.6635,2.117,2.4151,1.7332,2.1744,-0.1552
S01011122,1.2192,3.0569,3.4522,0.7846,1.8028,-0.4063
S01011123,1.2257,4.3602,4.7556,1.7875,3.1061,0.1683
S01011124,1.2534,4.4781,4.8735,1.8963,3.224,0.2127
