name,amenity,lat,lon
Medichem Pharmacy,pharmacy,53.8221699,-1.5321521
Westfield Medical Centre,doctors,53.8178303,-1.5322096
Chapeltown Health Centre,doctors,53.811437,-1.5262843
Cohens Chemist,pharmacy,53.8732354,-1.7107046
East Park Medical Centre,doctors,53.7941654,-1.5177709
Shaan Pharmacy,pharmacy,53.8135708,-1.5138985
Beeston Hill Pharmacy,pharmacy,53.7778803,-1.5549346
Park Edge Practice,doctors,53.8256067,-1.4834916
Oakwood Surgery,doctors,53.8267683,-1.5072081
Cohens Chemist,pharmacy,53.8565348,-1.60776
Alwoodley Medical Centre,doctors,53.8480118,-1.551782
Spire Leeds Hospital,hospital,53.8322112,-1.5145005
Dental,dentist,53.900991,-1.5130738
Indigo Dental,dentist,53.7827914,-1.5861956
Drighlington Pharmacy,pharmacy,53.754024,-1.6560051
Morley Pharmacy,pharmacy,53.7442323,-1.6050493
Whinmoor Surgery,doctors,53.8370323,-1.4560251
Rookwood Medical Centre,doctors,53.8013027,-1.488431
Leeds Private Hospital,hospital,53.8421241,-1.4743557
Windmill Health Centre,doctors,53.8217651,-1.4443524
Rothwell Health Centre,doctors,53.7487241,-1.4814747
Oakwood Lane Medical Centre,doctors,53.8200025,-1.4939316
Rothwell Dental Surgery,dentist,53.7469585,-1.4796893
The Dental Surgery,dentist,53.8071289,-1.4483251
Halton Pharmacy,pharmacy,53.7962555,-1.4700339
Oulton Medical Centre,doctors,53.7525796,-1.4494665
Elmwood Surgery,doctors,53.8311123,-1.3957776
Whinmoor Dental Care - Living Smiles Ltd,dentist,53.8371724,-1.4555467
Swillington Health Practice,doctors,53.7681015,-1.4251462
Swillington Pharmacy,pharmacy,53.7686608,-1.41835
TheDentist,dentist,53.843192,-1.534045
North Leeds Medical Practice,doctors,53.8435221,-1.5340421
Dr R H Dunphy & Partners - Pinfold Surgery,doctors,53.7377733,-1.3934619
Kippax Hall Surgery,doctors,53.7661294,-1.368367
mydentist,dentist,53.8055818,-1.4517223
Kippax Health Centre,doctors,53.7720893,-1.3701627
Lloyds Pharmacy,pharmacy,53.7476558,-1.3733533
Nuffield Hospital,hospital,53.8006204,-1.5542213
Spire Methley Park Hospital,hospital,53.7404461,-1.4236145
Boots,pharmacy,53.8142462,-1.6023213
Cohens Pharmacy,pharmacy,53.7863276,-1.3761403
Nova Scotia Medical Centre,doctors,53.7478906,-1.3733685
Lloyds Pharmacy,pharmacy,53.8077753,-1.5399799
Springfield Dental,dentist,53.8734855,-1.7111558
The Mount,hospital,53.8050535,-1.5601355
Newsam Centre,hospital,53.8049278,-1.4715285
Netherfield Road Medical Surgery,doctors,53.8756209,-1.71362
